Year,State,AER.Fuel.Type.Code,Net.Generation.MWh,Lat,Long
2001,AL,HYC,8767245,32.688053,-86.810585
2001,AL,NUC,30357063,32.688053,-86.810585
2001,AL,ORW,13756,32.688053,-86.810585
2001,AL,OTH,7812,32.688053,-86.810585
2001,AL,WWW,4172258,32.688053,-86.810585
2001,AR,HYC,2548251,34.755883,-92.640559
2001,AR,NUC,14780789,34.755883,-92.640559
2001,AR,ORW,7302,34.755883,-92.640559
2001,AR,OTH,235,34.755883,-92.640559
2001,AR,WWW,1504695,34.755883,-92.640559
2001,AZ,HPS,276294,34.255149,-111.62621
2001,AZ,HYC,7623565,34.255149,-111.62621
2001,AZ,NUC,28724076,34.255149,-111.62621
2001,AZ,ORW,5347,34.255149,-111.62621
2001,CA,GEO,12181295,36.531544,-119.586168
2001,CA,HPS,-349689,36.531544,-119.586168
2001,CA,HYC,25528417,36.531544,-119.586168
2001,CA,NUC,33219520,36.531544,-119.586168
2001,CA,ORW,408881,36.531544,-119.586168
2001,CA,OTH,204339,36.531544,-119.586168
2001,CA,WND,3425954,36.531544,-119.586168
2001,CA,WWW,3323778,36.531544,-119.586168
2001,CO,HPS,-250582,38.996664,-105.547822
2001,CO,HYC,1494704,38.996664,-105.547822
2001,CO,ORW,64204,38.996664,-105.547822
2001,CO,OTH,0,38.996664,-105.547822
2001,CO,WND,57713,38.996664,-105.547822
2001,CT,HPS,0,41.580163,-72.756629
2001,CT,HYC,286373,41.580163,-72.756629
2001,CT,NUC,15427767,41.580163,-72.756629
2001,CT,OTH,869139,41.580163,-72.756629
2001,FL,HYC,147718,27.97762,-81.769611
2001,FL,NUC,31583404,27.97762,-81.769611
2001,FL,ORW,171586,27.97762,-81.769611
2001,FL,OTH,3046344,27.97762,-81.769611
2001,FL,WWW,1828240,27.97762,-81.769611
2001,GA,HPS,-569710,32.53951,-83.380775
2001,GA,HYC,2185562,32.53951,-83.380775
2001,GA,NUC,33681769,32.53951,-83.380775
2001,GA,ORW,3681,32.53951,-83.380775
2001,GA,OTH,7953,32.53951,-83.380775
2001,GA,WWW,2974339,32.53951,-83.380775
2001,IA,HYC,845153,42.039943,-93.500069
2001,IA,NUC,3852722,42.039943,-93.500069
2001,IA,ORW,14724,42.039943,-93.500069
2001,IA,OTH,8449,42.039943,-93.500069
2001,IA,WND,487864,42.039943,-93.500069
2001,ID,HYC,7206183,43.764877,-114.964267
2001,ID,OTH,109187,43.764877,-114.964267
2001,ID,WWW,533334,43.764877,-114.964267
2001,IL,HYC,144029,40.265028,-89.191575
2001,IL,NUC,92358477,40.265028,-89.191575
2001,IL,ORW,41309,40.265028,-89.191575
2001,IL,OTH,49500,40.265028,-89.191575
2001,IN,HYC,570692,39.904493,-86.250281
2001,IN,ORW,4264,39.904493,-86.250281
2001,IN,OTH,15938,39.904493,-86.250281
2001,KS,HYC,25561,38.500327,-98.380429
2001,KS,NUC,10346651,38.500327,-98.380429
2001,KS,WND,39832,38.500327,-98.380429
2001,KY,HYC,3855508,37.696825,-84.924095
2001,KY,WWW,9552,37.696825,-84.924095
2001,LA,HYC,732217,30.542601,-92.51441
2001,LA,NUC,17336135,30.542601,-92.51441
2001,LA,ORW,63635,30.542601,-92.51441
2001,LA,OTH,890351,30.542601,-92.51441
2001,LA,WWW,2640656,30.542601,-92.51441
2001,MA,HPS,-711349,42.358752,-71.531484
2001,MA,HYC,702503,42.358752,-71.531484
2001,MA,NUC,5144033,42.358752,-71.531484
2001,MA,ORW,23982,42.358752,-71.531484
2001,MA,OTH,770549,42.358752,-71.531484
2001,MA,WWW,129768,42.358752,-71.531484
2001,MD,HYC,1183518,39.038828,-76.346717
2001,MD,NUC,13656267,39.038828,-76.346717
2001,MD,OTH,247700,39.038828,-76.346717
2001,MD,WWW,11939,39.038828,-76.346717
2001,ME,HYC,2645124,45.243327,-69.171071
2001,ME,ORW,67642,45.243327,-69.171071
2001,ME,OTH,411091,45.243327,-69.171071
2001,ME,WWW,3530143,45.243327,-69.171071
2001,MI,HPS,-1126837,43.924812,-84.633107
2001,MI,HYC,1550716,43.924812,-84.633107
2001,MI,NUC,26710782,43.924812,-84.633107
2001,MI,ORW,20335,43.924812,-84.633107
2001,MI,OTH,145902,43.924812,-84.633107
2001,MI,WND,280,43.924812,-84.633107
2001,MI,WWW,1700261,43.924812,-84.633107
2001,MN,HYC,831622,46.63636,-94.579641
2001,MN,NUC,11789027,46.63636,-94.579641
2001,MN,ORW,7042,46.63636,-94.579641
2001,MN,OTH,281671,46.63636,-94.579641
2001,MN,WND,897017,46.63636,-94.579641
2001,MN,WWW,574709,46.63636,-94.579641
2001,MO,HPS,-265860,38.353141,-92.747022
2001,MO,HYC,1104135,38.353141,-92.747022
2001,MO,NUC,8384240,38.353141,-92.747022
2001,MO,ORW,8797,38.353141,-92.747022
2001,MO,OTH,53630,38.353141,-92.747022
2001,MS,NUC,9923882,32.921921,-89.687118
2001,MS,OTH,146,32.921921,-89.687118
2001,MS,WWW,1432119,32.921921,-89.687118
2001,MT,HYC,6613472,47.001265,-109.645406
2001,MT,WWW,65425,47.001265,-109.645406
2001,NC,HPS,0,35.387362,-78.455056
2001,NC,HYC,2595708,35.387362,-78.455056
2001,NC,NUC,37775025,35.387362,-78.455056
2001,NC,ORW,8889,35.387362,-78.455056
2001,NC,OTH,224974,35.387362,-78.455056
2001,NC,WWW,1642329,35.387362,-78.455056
2001,ND,HYC,1332076,47.471495,-100.469096
2001,ND,ORW,7665,47.471495,-100.469096
2001,NE,HYC,506144,41.499671,-99.810075
2001,NE,NUC,8726113,41.499671,-99.810075
2001,NE,ORW,16663,41.499671,-99.810075
2001,NE,OTH,58,41.499671,-99.810075
2001,NE,WND,2630,41.499671,-99.810075
2001,NH,HYC,990581,43.644386,-71.586283
2001,NH,NUC,8692743,43.644386,-71.586283
2001,NH,OTH,59080,43.644386,-71.586283
2001,NH,WWW,858769,43.644386,-71.586283
2001,NJ,HPS,-141740,39.66502,-74.738208
2001,NJ,HYC,18001,39.66502,-74.738208
2001,NJ,NUC,30469230,39.66502,-74.738208
2001,NJ,ORW,12745,39.66502,-74.738208
2001,NJ,OTH,459385,39.66502,-74.738208
2001,NM,HYC,237320,34.498624,-106.108278
2001,NM,ORW,18652,34.498624,-106.108278
2001,NV,GEO,1199874,39.440688,-116.598569
2001,NV,HYC,2513722,39.440688,-116.598569
2001,NY,HPS,-930520,43.408777,-74.871618
2001,NY,HYC,23083943,43.408777,-74.871618
2001,NY,NUC,40394985,43.408777,-74.871618
2001,NY,OTH,809300,43.408777,-74.871618
2001,NY,WND,20540,43.408777,-74.871618
2001,NY,WWW,502685,43.408777,-74.871618
2001,OH,HYC,510785,40.262259,-82.883453
2001,OH,NUC,15463762,40.262259,-82.883453
2001,OH,WWW,403073,40.262259,-82.883453
2001,OK,HPS,-128479,35.455622,-97.508021
2001,OK,HYC,2344690,35.455622,-97.508021
2001,OK,WWW,230695,35.455622,-97.508021
2001,OR,HYC,28644556,43.854178,-120.526709
2001,OR,OTH,37585,43.854178,-120.526709
2001,OR,WND,88587,43.854178,-120.526709
2001,OR,WWW,701120,43.854178,-120.526709
2001,PA,HPS,-615450,40.860198,-77.838617
2001,PA,HYC,1756772,40.860198,-77.838617
2001,PA,NUC,73730797,40.860198,-77.838617
2001,PA,ORW,2047,40.860198,-77.838617
2001,PA,OTH,802575,40.860198,-77.838617
2001,PA,WND,11174,40.860198,-77.838617
2001,PA,WWW,596736,40.860198,-77.838617
2001,RI,HYC,3143,41.587536,-71.514739
2001,SC,HPS,-1035722,33.702857,-80.627523
2001,SC,HYC,1225443,33.702857,-80.627523
2001,SC,NUC,49869998,33.702857,-80.627523
2001,SC,OTH,21694,33.702857,-80.627523
2001,SC,WWW,866107,33.702857,-80.627523
2001,SD,HYC,4049843,44.470716,-100.229958
2001,SD,WND,871,44.470716,-100.229958
2001,TN,HPS,-733724,35.820245,-86.343764
2001,TN,HYC,6946530,35.820245,-86.343764
2001,TN,NUC,28576431,35.820245,-86.343764
2001,TN,OTH,6620,35.820245,-86.343764
2001,TN,WWW,779426,35.820245,-86.343764
2001,TX,HYC,1200331,31.030974,-98.326329
2001,TX,NUC,38162863,31.030974,-98.326329
2001,TX,ORW,44679,31.030974,-98.326329
2001,TX,OTH,1447233,31.030974,-98.326329
2001,TX,WND,1187510,31.030974,-98.326329
2001,TX,WWW,897604,31.030974,-98.326329
2001,UT,GEO,152742,39.098999,-111.878816
2001,UT,HYC,504523,39.098999,-111.878816
2001,UT,OTH,4146,39.098999,-111.878816
2001,VA,HPS,-2240077,37.73086,-78.376655
2001,VA,HYC,1014222,37.73086,-78.376655
2001,VA,NUC,25759130,37.73086,-78.376655
2001,VA,ORW,1936,37.73086,-78.376655
2001,VA,OTH,396806,37.73086,-78.376655
2001,VA,WWW,1145851,37.73086,-78.376655
2001,VT,HYC,884211,44.211857,-72.681238
2001,VT,NUC,4171120,44.211857,-72.681238
2001,VT,WND,12133,44.211857,-72.681238
2001,VT,WWW,370408,44.211857,-72.681238
2001,WA,HYC,54733892,47.372269,-120.59234
2001,WA,NUC,8250429,47.372269,-120.59234
2001,WA,ORW,29088,47.372269,-120.59234
2001,WA,OTH,59635,47.372269,-120.59234
2001,WA,WWW,1022612,47.372269,-120.59234
2001,WI,HYC,2067447,44.356004,-89.466198
2001,WI,NUC,11507078,44.356004,-89.466198
2001,WI,ORW,9182,44.356004,-89.466198
2001,WI,OTH,162694,44.356004,-89.466198
2001,WI,WND,72284,44.356004,-89.466198
2001,WI,WWW,705353,44.356004,-89.466198
2001,WV,HYC,845176,38.720281,-80.649428
2001,WV,OTH,10810,38.720281,-80.649428
2001,WV,WWW,1198,38.720281,-80.649428
2001,WY,HYC,879111,43.001645,-107.55153
2001,WY,OTH,107909,43.001645,-107.55153
2001,WY,WND,356089,43.001645,-107.55153
