Year,State,AER.Fuel.Type.Code,Net.Generation.MWh,Lat,Long
2021,AK,HYC,1645176,28.12768,-117.981766
2021,AK,ORW,117,28.12768,-117.981766
2021,AK,OTH,-3433,28.12768,-117.981766
2021,AK,WND,127069,28.12768,-117.981766
2021,AK,WWW,0,28.12768,-117.981766
2021,AL,HYC,12517703,32.688053,-86.810585
2021,AL,NUC,46036489,32.688053,-86.810585
2021,AL,ORW,0,32.688053,-86.810585
2021,AL,OTH,0,32.688053,-86.810585
2021,AL,WWW,3147597,32.688053,-86.810585
2021,AR,HPS,83706,34.755883,-92.640559
2021,AR,HYC,4317709,34.755883,-92.640559
2021,AR,NUC,13555684,34.755883,-92.640559
2021,AR,ORW,28632,34.755883,-92.640559
2021,AR,OTH,7575,34.755883,-92.640559
2021,AR,WWW,898733,34.755883,-92.640559
2021,AZ,HPS,90895,34.255149,-111.62621
2021,AZ,HYC,5817444,34.255149,-111.62621
2021,AZ,NUC,31629862,34.255149,-111.62621
2021,AZ,OTH,-7213,34.255149,-111.62621
2021,AZ,WND,1600319,34.255149,-111.62621
2021,AZ,WWW,238857,34.255149,-111.62621
2021,CA,GEO,11446696,36.531544,-119.586168
2021,CA,HPS,-317434,36.531544,-119.586168
2021,CA,HYC,14559410,36.531544,-119.586168
2021,CA,NUC,16477366,36.531544,-119.586168
2021,CA,ORW,715089,36.531544,-119.586168
2021,CA,OTH,609164,36.531544,-119.586168
2021,CA,WND,15625511,36.531544,-119.586168
2021,CA,WWW,3211810,36.531544,-119.586168
2021,CO,HPS,-35500,38.996664,-105.547822
2021,CO,HYC,1649707,38.996664,-105.547822
2021,CO,ORW,35983,38.996664,-105.547822
2021,CO,OTH,54927,38.996664,-105.547822
2021,CO,WND,15029262,38.996664,-105.547822
2021,CO,WWW,94851,38.996664,-105.547822
2021,CT,HPS,433,41.580163,-72.756629
2021,CT,HYC,323695,41.580163,-72.756629
2021,CT,NUC,17216509,41.580163,-72.756629
2021,CT,ORW,696,41.580163,-72.756629
2021,CT,OTH,571202,41.580163,-72.756629
2021,CT,WND,12758,41.580163,-72.756629
2021,CT,WWW,349668,41.580163,-72.756629
2021,DC,ORW,55721,38.912097,-77.014683
2021,DE,WND,4849,38.978849,-75.46014
2021,FL,HYC,220795,27.97762,-81.769611
2021,FL,NUC,28058287,27.97762,-81.769611
2021,FL,ORW,329467,27.97762,-81.769611
2021,FL,OTH,2699142,27.97762,-81.769611
2021,FL,WWW,2105621,27.97762,-81.769611
2021,GA,HPS,-133728,32.53951,-83.380775
2021,GA,HYC,4168043,32.53951,-83.380775
2021,GA,NUC,33951976,32.53951,-83.380775
2021,GA,ORW,34268,32.53951,-83.380775
2021,GA,OTH,78196,32.53951,-83.380775
2021,GA,WWW,5356314,32.53951,-83.380775
2021,HI,GEO,165662,24.200987,-104.313994
2021,HI,HYC,108713,24.200987,-104.313994
2021,HI,ORW,124419,24.200987,-104.313994
2021,HI,OTH,341635,24.200987,-104.313994
2021,HI,WND,674360,24.200987,-104.313994
