Year,State,AER Fuel Type Code,Net Generation MWh
2001,AK,HYC,21690
2001,AK,HYC,5605
2001,AK,DFO,1015
2001,AK,HYC,24730
2001,AK,DFO,61
2001,AK,HYC,3267
2001,AK,DFO,608
2001,AK,HYC,82888
2001,AK,HYC,91855
2001,AK,DFO,218
2001,AK,NG,22648
2001,AK,HYC,146252
2001,AK,HYC,279606
2001,AK,HYC,22388
2001,AK,DFO,7448
2001,AK,DFO,27837
2001,AK,DFO,1024
2001,AK,HYC,13041
2001,AK,HYC,45465
2001,AK,DFO,752
2001,AK,NG,1859079
2001,AK,DFO,620
2001,AK,HYC,44894
2001,AK,HYC,50788
2001,AK,DFO,11559
2001,AK,DFO,590
2001,AK,DFO,1506
2001,AK,DFO,20795
2001,AK,DFO,0
2001,AK,NG,173210
2001,AK,DFO,41633
2001,AK,DFO,491
2001,AK,DFO,614
2001,AK,RFO,579314
2001,AK,DFO,-326
2001,AK,RFO,653
2001,AK,DFO,280
2001,AK,COL,194008
2001,AK,HYC,59447
2001,AK,DFO,0
2001,AK,NG,114102
2001,AK,DFO,0
2001,AK,NG,2035
2001,AK,DFO,4144
2001,AK,DFO,20118
2001,AK,DFO,20882
2001,AK,WND,950
2001,AK,DFO,16413
2001,AK,DFO,2600
2001,AK,DFO,1548
2001,AK,DFO,445
2001,AK,DFO,1829
2001,AK,DFO,685
2001,AK,DFO,1023
2001,AK,DFO,2383
2001,AK,DFO,1941
2001,AK,DFO,673
2001,AK,DFO,506
2001,AK,DFO,764
2001,AK,DFO,2404
2001,AK,DFO,863
2001,AK,DFO,1185
2001,AK,DFO,695
2001,AK,DFO,1376
2001,AK,DFO,1088
2001,AK,DFO,1140
2001,AK,DFO,1057
2001,AK,DFO,814
2001,AK,DFO,660
2001,AK,DFO,2472
2001,AK,DFO,1768
2001,AK,DFO,1436
2001,AK,DFO,1093
2001,AK,DFO,2353
2001,AK,DFO,1192
2001,AK,DFO,1383
2001,AK,DFO,1463
2001,AK,DFO,2886
2001,AK,DFO,1153
2001,AK,DFO,1801
2001,AK,DFO,2362
2001,AK,DFO,1050
2001,AK,DFO,370
2001,AK,DFO,816
2001,AK,DFO,1610
2001,AK,DFO,1376
2001,AK,DFO,1446
2001,AK,DFO,2428
2001,AK,DFO,1190
2001,AK,DFO,790
2001,AK,DFO,551
2001,AK,DFO,2837
2001,AK,DFO,1114
2001,AK,DFO,709
2001,AK,DFO,353
2001,AK,NG,806240
2001,AK,DFO,4125
2001,AK,HYC,41248
2001,AK,HYC,13968
2001,AK,DFO,8378
2001,AK,DFO,259
2001,AK,HYC,1998
2001,AK,DFO,193
2001,AK,HYC,2623
2001,AK,DFO,652
2001,AK,DFO,1557
2001,AK,DFO,27
2001,AK,NG,50493
2001,AK,DFO,260
2001,AK,DFO,812
2001,AK,DFO,821
2001,AK,DFO,2585
2001,AK,DFO,290
2001,AK,DFO,534
2001,AK,DFO,814
2001,AK,DFO,270
2001,AK,HYC,6685
2001,AK,DFO,329
2001,AK,DFO,763
2001,AK,HYC,345681
2001,AK,DFO,390
2001,AK,DFO,653
2001,AK,DFO,731
2001,AK,DFO,135
2001,AK,DFO,576
2001,AK,HYC,18457
2001,AK,HYC,22826
2001,AK,DFO,220
2001,AK,DFO,457
2001,AK,HYC,263
2001,AK,COL,89689
2001,AK,DFO,3332
2001,AK,COL,79270
2001,AK,DFO,6072
2001,AK,DFO,6280
2001,AK,COL,46922
2001,AK,NG,52427
2001,AK,NG,23663
2001,AK,NG,159380
2001,AK,DFO,9600
2001,AK,DFO,19124
2001,AK,DFO,28355
2001,AK,NG,86971
2001,AK,DFO,186
2001,AK,DFO,3153
2001,AK,DFO,3457
2001,AK,DFO,7128
2001,AK,DFO,2547
2001,AK,NG,545318
2001,AK,COL,154705
2001,AL,HYC,234987
2001,AL,COL,10559116
2001,AL,DFO,244
2001,AL,NG,5239405
2001,AL,HYC,588712
2001,AL,DFO,0
2001,AL,NG,0
2001,AL,COL,460360
2001,AL,DFO,18
2001,AL,NG,18898
2001,AL,COL,7226967
2001,AL,DFO,18860
2001,AL,COL,3796674
2001,AL,DFO,113520
2001,AL,NG,195564
2001,AL,HYC,177965
2001,AL,HYC,66436
2001,AL,HYC,262820
2001,AL,HYC,333569
2001,AL,HYC,516816
2001,AL,HYC,305392
2001,AL,HYC,442746
2001,AL,HYC,330520
2001,AL,HYC,156257
2001,AL,HYC,187133
2001,AL,HYC,128613
2001,AL,COL,12504065
2001,AL,DFO,24655
2001,AL,HYC,366401
2001,AL,NUC,18196747
2001,AL,COL,6584746
2001,AL,DFO,92090
2001,AL,NG,13378
2001,AL,HYC,558156
2001,AL,HYC,1087883
2001,AL,COL,8385733
2001,AL,DFO,12693
2001,AL,HYC,6696
2001,AL,HYC,17864
2001,AL,COL,3473849
2001,AL,DFO,270
2001,AL,NG,261844
2001,AL,NG,33393
2001,AL,HYC,295443
2001,AL,HYC,113538
2001,AL,HYC,1882
2001,AL,NUC,12160316
2001,AL,DFO,250
2001,AL,NG,33717
